Test: InstallSnapshot RPC (3B) ...
  ... Passed --   3.5  3  1152   63
Test: snapshot size is reasonable (3B) ...
  ... Passed --   3.6  3  3361  800
Test: ops complete fast enough (3B) ...
  ... Passed --   4.7  3  3718    0
Test: restarts, snapshots, one client (3B) ...
  ... Passed --  21.2  5 20254 3491
Test: restarts, snapshots, many clients (3B) ...
2021/12/23 23:52:57 call elemId:0 time:1640274756618732500
2021/12/23 23:52:57 return elemId:0 time:1640274756811573700
2021/12/23 23:52:57 call elemId:1 time:1640274756811573700
2021/12/23 23:52:57 return elemId:1 time:1640274756817900000
2021/12/23 23:52:57 call elemId:2 time:1640274756817900000
2021/12/23 23:52:57 return elemId:2 time:1640274756873440800
2021/12/23 23:52:57 call elemId:3 time:1640274756873440800
2021/12/23 23:52:57 call elemId:4 time:1640274756917551200
2021/12/23 23:52:57 return elemId:3 time:1640274756917551200
2021/12/23 23:52:57 return elemId:4 time:1640274756951421100
2021/12/23 23:52:57 call elemId:5 time:1640274756951421100
2021/12/23 23:52:57 return elemId:5 time:1640274757010092200
2021/12/23 23:52:57 call elemId:6 time:1640274757010092200
2021/12/23 23:52:57 return elemId:6 time:1640274757014089900
2021/12/23 23:52:57 call elemId:7 time:1640274757014089900
2021/12/23 23:52:57 return elemId:7 time:1640274757057345500
2021/12/23 23:52:57 call elemId:8 time:1640274757057345500
2021/12/23 23:52:57 return elemId:8 time:1640274757059340900
2021/12/23 23:52:57 call elemId:9 time:1640274757059340900
2021/12/23 23:52:57 return elemId:9 time:1640274757110731600
2021/12/23 23:52:57 call elemId:10 time:1640274757110731600
2021/12/23 23:52:57 call elemId:11 time:1640274757146022900
2021/12/23 23:52:57 return elemId:10 time:1640274757146022900
2021/12/23 23:52:57 return elemId:11 time:1640274757191892700
2021/12/23 23:52:57 call elemId:12 time:1640274757191892700
2021/12/23 23:52:57 return elemId:12 time:1640274757208271600
2021/12/23 23:52:57 call elemId:13 time:1640274757208271600
2021/12/23 23:52:57 call elemId:14 time:1640274757236193200
2021/12/23 23:52:57 return elemId:13 time:1640274757236193200
2021/12/23 23:52:57 return elemId:14 time:1640274757299411500
2021/12/23 23:52:57 call elemId:15 time:1640274757299411500
2021/12/23 23:52:57 return elemId:15 time:1640274757342641500
2021/12/23 23:52:57 call elemId:16 time:1640274757342641500
2021/12/23 23:52:57 return elemId:16 time:1640274757363113500
2021/12/23 23:52:57 call elemId:17 time:1640274757363113500
2021/12/23 23:52:57 return elemId:17 time:1640274757401088500
2021/12/23 23:52:57 call elemId:18 time:1640274757401088500
2021/12/23 23:52:57 return elemId:18 time:1640274757419371000
2021/12/23 23:52:57 call elemId:19 time:1640274757419371000
2021/12/23 23:52:57 return elemId:19 time:1640274757466685500
2021/12/23 23:52:57 call elemId:20 time:1640274757466685500
2021/12/23 23:52:57 return elemId:20 time:1640274757532093300
2021/12/23 23:52:57 call elemId:21 time:1640274757532093300
2021/12/23 23:52:57 return elemId:21 time:1640274757543099300
2021/12/23 23:52:57 call elemId:22 time:1640274757543099300
2021/12/23 23:52:57 return elemId:22 time:1640274757586331700
2021/12/23 23:52:57 call elemId:23 time:1640274757586331700
2021/12/23 23:52:57 return elemId:23 time:1640274757612541900
2021/12/23 23:52:57 call elemId:24 time:1640274757612541900
2021/12/23 23:52:57 return elemId:24 time:1640274757620062200
2021/12/23 23:52:57 call elemId:25 time:1640274757620062200
2021/12/23 23:52:57 return elemId:25 time:1640274757648531000
2021/12/23 23:52:57 call elemId:26 time:1640274757648531000
2021/12/23 23:52:57 return elemId:26 time:1640274757675992800
2021/12/23 23:52:57 call elemId:27 time:1640274757675992800
2021/12/23 23:52:57 call elemId:28 time:1640274757693983500
2021/12/23 23:52:57 return elemId:27 time:1640274757693983500
2021/12/23 23:52:57 return elemId:28 time:1640274757703984100
2021/12/23 23:52:57 call elemId:29 time:1640274757703984100
2021/12/23 23:52:57 return elemId:29 time:1640274757726409000
2021/12/23 23:52:57 call elemId:30 time:1640274757726409000
2021/12/23 23:52:57 return elemId:30 time:1640274757763052900
2021/12/23 23:52:57 call elemId:31 time:1640274757763052900
2021/12/23 23:52:57 return elemId:31 time:1640274757773154700
2021/12/23 23:52:57 call elemId:32 time:1640274757773154700
2021/12/23 23:52:57 call elemId:33 time:1640274757788679400
2021/12/23 23:52:57 return elemId:32 time:1640274757788679400
2021/12/23 23:52:57 return elemId:33 time:1640274757835116400
2021/12/23 23:52:57 call elemId:34 time:1640274757835116400
2021/12/23 23:52:57 return elemId:34 time:1640274757867117400
2021/12/23 23:52:57 call elemId:35 time:1640274757867117400
2021/12/23 23:52:57 return elemId:35 time:1640274757917531100
2021/12/23 23:52:57 call elemId:36 time:1640274757917531100
2021/12/23 23:52:57 return elemId:36 time:1640274757928057300
2021/12/23 23:52:57 call elemId:37 time:1640274757928057300
2021/12/23 23:52:57 return elemId:37 time:1640274757979834300
2021/12/23 23:52:57 call elemId:38 time:1640274757979834300
2021/12/23 23:52:57 return elemId:38 time:1640274757995020900
2021/12/23 23:52:57 call elemId:39 time:1640274757995020900
2021/12/23 23:52:57 return elemId:39 time:1640274758054784300
2021/12/23 23:52:57 call elemId:40 time:1640274758054784300
2021/12/23 23:52:57 return elemId:40 time:1640274758081785900
2021/12/23 23:52:57 call elemId:41 time:1640274758081785900
2021/12/23 23:52:57 return elemId:41 time:1640274758086783700
2021/12/23 23:52:57 call elemId:42 time:1640274758086783700
2021/12/23 23:52:57 return elemId:42 time:1640274758088782200
2021/12/23 23:52:57 call elemId:43 time:1640274758088782200
2021/12/23 23:52:57 return elemId:43 time:1640274758118698100
2021/12/23 23:52:57 call elemId:44 time:1640274758118698100
2021/12/23 23:52:57 return elemId:44 time:1640274758135421100
2021/12/23 23:52:57 call elemId:45 time:1640274758135421100
2021/12/23 23:52:57 return elemId:45 time:1640274758156043700
2021/12/23 23:52:57 call elemId:46 time:1640274758156043700
2021/12/23 23:52:57 return elemId:46 time:1640274758167396100
2021/12/23 23:52:57 call elemId:47 time:1640274758167396100
2021/12/23 23:52:57 return elemId:47 time:1640274758186403400
2021/12/23 23:52:57 call elemId:48 time:1640274758186403400
2021/12/23 23:52:57 return elemId:48 time:1640274758195968900
2021/12/23 23:52:57 call elemId:49 time:1640274758197011800
2021/12/23 23:52:57 call elemId:50 time:1640274758210958100
2021/12/23 23:52:57 return elemId:49 time:1640274758210958100
2021/12/23 23:52:57 return elemId:50 time:1640274758239312000
2021/12/23 23:52:57 call elemId:51 time:1640274758239312000
2021/12/23 23:52:57 return elemId:51 time:1640274758247287600
2021/12/23 23:52:57 call elemId:52 time:1640274758247287600
2021/12/23 23:52:57 return elemId:52 time:1640274758260723700
2021/12/23 23:52:57 call elemId:53 time:1640274758260723700
2021/12/23 23:52:57 return elemId:53 time:1640274758307659600
2021/12/23 23:52:57 call elemId:54 time:1640274758307659600
2021/12/23 23:52:57 call elemId:55 time:1640274758330434200
