Test: InstallSnapshot RPC (3B) ...
  ... Passed --   3.6  3  1714   63
Test: snapshot size is reasonable (3B) ...
  ... Passed --   6.6  3  4214  800
Test: ops complete fast enough (3B) ...
  ... Passed --   6.1  3  4632    0
Test: restarts, snapshots, one client (3B) ...
  ... Passed --  21.1  5 15342 2365
Test: restarts, snapshots, many clients (3B) ...
2021/12/24 00:21:03 call elemId:0 time:1640276442138206600
2021/12/24 00:21:03 return elemId:0 time:1640276442303891400
2021/12/24 00:21:03 call elemId:1 time:1640276442303891400
2021/12/24 00:21:03 return elemId:1 time:1640276442308844600
2021/12/24 00:21:03 call elemId:2 time:1640276442308844600
2021/12/24 00:21:03 return elemId:2 time:1640276442314843500
2021/12/24 00:21:03 call elemId:3 time:1640276442314843500
2021/12/24 00:21:03 return elemId:3 time:1640276442324845300
2021/12/24 00:21:03 call elemId:4 time:1640276442324845300
2021/12/24 00:21:03 return elemId:4 time:1640276442341214100
2021/12/24 00:21:03 call elemId:5 time:1640276442341214100
2021/12/24 00:21:03 return elemId:5 time:1640276442348213800
2021/12/24 00:21:03 call elemId:6 time:1640276442348213800
2021/12/24 00:21:03 return elemId:6 time:1640276442362837200
2021/12/24 00:21:03 call elemId:7 time:1640276442362837200
2021/12/24 00:21:03 return elemId:7 time:1640276442367406300
2021/12/24 00:21:03 call elemId:8 time:1640276442367406300
2021/12/24 00:21:03 return elemId:8 time:1640276442381407800
2021/12/24 00:21:03 call elemId:9 time:1640276442381407800
2021/12/24 00:21:03 return elemId:9 time:1640276442396407300
2021/12/24 00:21:03 call elemId:10 time:1640276442396407300
2021/12/24 00:21:03 return elemId:10 time:1640276442403407500
2021/12/24 00:21:03 call elemId:11 time:1640276442403407500
2021/12/24 00:21:03 return elemId:11 time:1640276442415409600
2021/12/24 00:21:03 call elemId:12 time:1640276442415409600
2021/12/24 00:21:03 call elemId:13 time:1640276442419410100
2021/12/24 00:21:03 return elemId:12 time:1640276442419410100
2021/12/24 00:21:03 return elemId:13 time:1640276442425321200
2021/12/24 00:21:03 call elemId:14 time:1640276442425321200
2021/12/24 00:21:03 return elemId:14 time:1640276442426321200
2021/12/24 00:21:03 call elemId:15 time:1640276442426321200
2021/12/24 00:21:03 return elemId:15 time:1640276442433031000
2021/12/24 00:21:03 call elemId:16 time:1640276442433031000
2021/12/24 00:21:03 return elemId:16 time:1640276442447154200
2021/12/24 00:21:03 call elemId:17 time:1640276442447154200
2021/12/24 00:21:03 return elemId:17 time:1640276442457581000
2021/12/24 00:21:03 call elemId:18 time:1640276442457581000
2021/12/24 00:21:03 return elemId:18 time:1640276442470076300
2021/12/24 00:21:03 call elemId:19 time:1640276442470076300
2021/12/24 00:21:03 return elemId:19 time:1640276442477074200
2021/12/24 00:21:03 call elemId:20 time:1640276442477074200
2021/12/24 00:21:03 call elemId:21 time:1640276442510465000
2021/12/24 00:21:03 return elemId:20 time:1640276442510465000
2021/12/24 00:21:03 return elemId:21 time:1640276442520896400
2021/12/24 00:21:03 call elemId:22 time:1640276442520896400
2021/12/24 00:21:03 return elemId:22 time:1640276442536440500
2021/12/24 00:21:03 call elemId:23 time:1640276442536440500
2021/12/24 00:21:03 return elemId:23 time:1640276442561856200
2021/12/24 00:21:03 call elemId:24 time:1640276442561856200
2021/12/24 00:21:03 return elemId:24 time:1640276442565847600
2021/12/24 00:21:03 call elemId:25 time:1640276442565847600
2021/12/24 00:21:03 return elemId:25 time:1640276442567845700
2021/12/24 00:21:03 call elemId:26 time:1640276442567845700
2021/12/24 00:21:03 return elemId:26 time:1640276442594440800
2021/12/24 00:21:03 call elemId:27 time:1640276442594440800
2021/12/24 00:21:03 call elemId:28 time:1640276442600438900
2021/12/24 00:21:03 return elemId:27 time:1640276442600438900
2021/12/24 00:21:03 return elemId:28 time:1640276442606978400
2021/12/24 00:21:03 call elemId:29 time:1640276442606978400
2021/12/24 00:21:03 return elemId:29 time:1640276442613313900
2021/12/24 00:21:03 call elemId:30 time:1640276442613313900
2021/12/24 00:21:03 return elemId:30 time:1640276442615314200
2021/12/24 00:21:03 call elemId:31 time:1640276442615314200
2021/12/24 00:21:03 call elemId:32 time:1640276442716159800
2021/12/24 00:21:03 return elemId:31 time:1640276442716159800
2021/12/24 00:21:03 return elemId:32 time:1640276442724684300
2021/12/24 00:21:03 call elemId:33 time:1640276442724684300
2021/12/24 00:21:03 return elemId:33 time:1640276442740620500
