Test: InstallSnapshot RPC (3B) ...
  ... Passed --   2.9  3  1677   63
Test: snapshot size is reasonable (3B) ...
  ... Passed --   7.0  3  3471  800
Test: ops complete fast enough (3B) ...
  ... Passed --   7.5  3  4205    0
Test: restarts, snapshots, one client (3B) ...
  ... Passed --  21.1  5 13438 1911
Test: restarts, snapshots, many clients (3B) ...
2021/12/24 00:27:41 call elemId:0 time:1640276840700054000
2021/12/24 00:27:41 return elemId:0 time:1640276840893996100
2021/12/24 00:27:41 call elemId:1 time:1640276840893996100
2021/12/24 00:27:41 call elemId:2 time:1640276840902993800
2021/12/24 00:27:41 return elemId:1 time:1640276840902993800
2021/12/24 00:27:41 call elemId:3 time:1640276840905997800
2021/12/24 00:27:41 return elemId:2 time:1640276840905997800
2021/12/24 00:27:41 return elemId:3 time:1640276840917476200
2021/12/24 00:27:41 call elemId:4 time:1640276840917476200
2021/12/24 00:27:41 call elemId:5 time:1640276840929476500
2021/12/24 00:27:41 return elemId:4 time:1640276840929476500
2021/12/24 00:27:41 return elemId:5 time:1640276840938480400
2021/12/24 00:27:41 call elemId:6 time:1640276840938480400
2021/12/24 00:27:41 return elemId:6 time:1640276840942478100
2021/12/24 00:27:41 call elemId:7 time:1640276840942478100
2021/12/24 00:27:41 return elemId:7 time:1640276840950490300
2021/12/24 00:27:41 call elemId:8 time:1640276840950490300
2021/12/24 00:27:41 return elemId:8 time:1640276840963479500
2021/12/24 00:27:41 call elemId:9 time:1640276840963479500
2021/12/24 00:27:41 call elemId:10 time:1640276840976946800
2021/12/24 00:27:41 return elemId:9 time:1640276840976946800
2021/12/24 00:27:41 call elemId:11 time:1640276840980039700
2021/12/24 00:27:41 return elemId:10 time:1640276840980039700
2021/12/24 00:27:41 call elemId:12 time:1640276840982041400
2021/12/24 00:27:41 return elemId:11 time:1640276840982041400
2021/12/24 00:27:41 return elemId:12 time:1640276841004268700
2021/12/24 00:27:41 call elemId:13 time:1640276841004268700
2021/12/24 00:27:41 return elemId:13 time:1640276841008267400
2021/12/24 00:27:41 call elemId:14 time:1640276841008267400
2021/12/24 00:27:41 call elemId:15 time:1640276841043269900
2021/12/24 00:27:41 return elemId:14 time:1640276841043269900
2021/12/24 00:27:41 return elemId:15 time:1640276841059502200
2021/12/24 00:27:41 call elemId:16 time:1640276841059502200
2021/12/24 00:27:41 return elemId:16 time:1640276841071657400
2021/12/24 00:27:41 call elemId:17 time:1640276841071657400
2021/12/24 00:27:41 return elemId:17 time:1640276841092074300
2021/12/24 00:27:41 call elemId:18 time:1640276841092074300
2021/12/24 00:27:41 call elemId:19 time:1640276841102323500
2021/12/24 00:27:41 return elemId:18 time:1640276841102323500
2021/12/24 00:27:41 call elemId:20 time:1640276841130430900
2021/12/24 00:27:41 return elemId:19 time:1640276841130430900
2021/12/24 00:27:41 call elemId:21 time:1640276841132429400
2021/12/24 00:27:41 return elemId:20 time:1640276841132429400
2021/12/24 00:27:41 return elemId:21 time:1640276841161431900
2021/12/24 00:27:41 call elemId:22 time:1640276841161431900
2021/12/24 00:27:41 return elemId:22 time:1640276841179136700
2021/12/24 00:27:41 call elemId:23 time:1640276841179136700
2021/12/24 00:27:41 call elemId:24 time:1640276841190186200
2021/12/24 00:27:41 return elemId:23 time:1640276841190186200
2021/12/24 00:27:41 return elemId:24 time:1640276841197181400
2021/12/24 00:27:41 call elemId:25 time:1640276841197181400
2021/12/24 00:27:41 return elemId:25 time:1640276841203180900
2021/12/24 00:27:41 call elemId:26 time:1640276841203180900
2021/12/24 00:27:41 return elemId:26 time:1640276841259320800
2021/12/24 00:27:41 call elemId:27 time:1640276841259320800
2021/12/24 00:27:41 call elemId:28 time:1640276841304603100
2021/12/24 00:27:41 return elemId:27 time:1640276841304603100
2021/12/24 00:27:41 return elemId:28 time:1640276841358984600
2021/12/24 00:27:41 call elemId:29 time:1640276841358984600
2021/12/24 00:27:41 return elemId:29 time:1640276841374380600
2021/12/24 00:27:41 call elemId:30 time:1640276841374380600
2021/12/24 00:27:41 return elemId:30 time:1640276841378383700
2021/12/24 00:27:41 call elemId:31 time:1640276841378383700
2021/12/24 00:27:41 return elemId:31 time:1640276841394387600
2021/12/24 00:27:41 call elemId:32 time:1640276841395393000
2021/12/24 00:27:41 call elemId:33 time:1640276841410386200
2021/12/24 00:27:41 return elemId:32 time:1640276841410386200
2021/12/24 00:27:41 call elemId:34 time:1640276841427382500
2021/12/24 00:27:41 return elemId:33 time:1640276841427382500
2021/12/24 00:27:41 return elemId:34 time:1640276841432380800
2021/12/24 00:27:41 call elemId:35 time:1640276841432380800
2021/12/24 00:27:41 return elemId:35 time:1640276841506394700
2021/12/24 00:27:41 call elemId:36 time:1640276841506394700
2021/12/24 00:27:41 call elemId:37 time:1640276841550440700
2021/12/24 00:27:41 return elemId:36 time:1640276841550440700
2021/12/24 00:27:41 call elemId:38 time:1640276841555206500
2021/12/24 00:27:41 return elemId:37 time:1640276841555206500
2021/12/24 00:27:41 call elemId:39 time:1640276841569363700
2021/12/24 00:27:41 return elemId:38 time:1640276841569363700
2021/12/24 00:27:41 return elemId:39 time:1640276841578372200
2021/12/24 00:27:41 call elemId:40 time:1640276841578372200
2021/12/24 00:27:41 return elemId:40 time:1640276841601784800
2021/12/24 00:27:41 call elemId:41 time:1640276841601784800
2021/12/24 00:27:41 call elemId:42 time:1640276841613786900
2021/12/24 00:27:41 return elemId:41 time:1640276841613786900
2021/12/24 00:27:41 return elemId:42 time:1640276841618510000
2021/12/24 00:27:41 call elemId:43 time:1640276841618510000
2021/12/24 00:27:41 return elemId:43 time:1640276841625068100
2021/12/24 00:27:41 call elemId:44 time:1640276841625068100
2021/12/24 00:27:41 return elemId:44 time:1640276841629596100
2021/12/24 00:27:41 call elemId:45 time:1640276841629596100
2021/12/24 00:27:41 return elemId:45 time:1640276841643597000
2021/12/24 00:27:41 call elemId:46 time:1640276841643597000
2021/12/24 00:27:41 call elemId:47 time:1640276841654603700
2021/12/24 00:27:41 return elemId:46 time:1640276841654603700
2021/12/24 00:27:41 call elemId:48 time:1640276841678443100
2021/12/24 00:27:41 return elemId:47 time:1640276841678443100
2021/12/24 00:27:41 return elemId:48 time:1640276841684011700
2021/12/24 00:27:41 call elemId:49 time:1640276841684011700
